Company,Category,Segment,HQ,Sales_Rs_Cr,Employees,Total_Logistics_Spend_Rs_Cr,Key_Locations,tier0_score,original_tier,website_url,linkedin_url,has_trigger_news,trigger_news_count,total_contacts,dm_contact_count,best_contact,has_stated_priorities,priority_signals,priority_signal_count,has_it_hiring,it_hiring_summary,final_score,final_tier
Vedanta Aluminium,Steel & Metals,Non Ferrous Metals,Delhi,145000.0,25000.0,1030.0,"Jharsuguda (OD), Lanjigarh (OD), BALCO Korba (CG)",115,A,https://www.vedantaaluminium.com,https://www.linkedin.com/company/vedanta-aluminium,True,2,0,0,,True,"digital_transformation,expansion,cost_optimization,sustainability",4,False,,160,A
Mahindra & Mahindra,Auto & Engineering,Auto Oem,Mumbai,140000.0,55000.0,1100.0,"Chakan, Nashik, Igatpuri, Kandivali, Zaheerabad, Haridwar",120,A,https://www.mahindramahindra.com,https://www.linkedin.com/company/mahindra-and-mahindra,True,1,0,0,,True,"digital_transformation,expansion,sustainability",3,False,,154,A
Hindalco Industries,Steel & Metals,Non Ferrous Metals,Mumbai,215000.0,35000.0,1300.0,"Hirakud (OD), Renukoot (UP), Dahej (GJ), Belgaum (KA), Aditya (OD)",120,A,https://www.hindalco.com,https://www.linkedin.com/company/hindalco,True,1,0,0,,True,"digital_transformation,expansion",2,True,"**Hindalco Industries' IT department, led by CTO Vilas Tathavadkar (Aluminium Upstream and Copper), ",151,A
Hindustan Unilever,FMCG & Consumer,Fmcg Foods Personal Care,Mumbai,60000.0,21000.0,2000.0,"Doom Dooma (AS), Silvassa, Haridwar, Pondicherry, Mumbai",115,A,https://www.hindustanunilever.com,https://www.linkedin.com/company/hindustan-unilever,True,1,0,0,,True,"digital_transformation,cost_optimization,sustainability",3,False,,149,A
Tata Motors,Auto & Engineering,Auto Oem,Mumbai,445000.0,80000.0,2600.0,"Pune, Sanand (GJ), Lucknow, Pantnagar, Jamshedpur, Dharwad",120,A,https://www.tatamotors.com,https://www.linkedin.com/company/tata-motors,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,144,A
Coal India Ltd,Mining & Minerals,Mining Minerals,Kolkata,160000.0,240000.0,1350.0,"Jharkhand, Odisha, Chhattisgarh, MP, WB, Maharashtra",120,A,https://www.coal.com,https://www.linkedin.com/company/coal,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,True,I cannot provide comprehensive answers to your query based on the available search results. The sear,144,A
BPCL,Chemicals & Petrochemicals,Petrochemicals Polymers,Mumbai,550000.0,12000.0,605.0,"Kochi (KL), Mumbai",95,B,https://www.bpcl.com,https://www.linkedin.com/company/bpcl,True,2,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,139,A
IOCL Petrochemicals,Chemicals & Petrochemicals,Petrochemicals Polymers,Delhi,850000.0,32000.0,2000.0,"Panipat (HR), Paradip (OD), Barauni (BR)",115,B,,https://www.linkedin.com/company/iocl-petrochemicals,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,139,A
Amul (GCMMF),FMCG & Consumer,Fmcg Foods Personal Care,Anand,72000.0,35000.0,1350.0,"Anand (GJ), Mumbai, Kolkata (Pan-India)",110,B,https://www.amulgcmmf.com,https://www.linkedin.com/company/amul-gcmmf,False,0,0,0,,True,"digital_transformation,logistics_tech,expansion,cost_optimization",4,False,,135,A
Maruti Suzuki,Auto & Engineering,Auto Oem,Delhi,145000.0,35000.0,1430.0,"Gurugram (HR), Manesar (HR), Gujarat",110,B,https://www.marutisuzuki.com,https://www.linkedin.com/company/maruti-suzuki,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,True,"**1) Recent IT leadership hires:**  
- Manoj Gautam appointed Head of IT (April 2024), succeeding Ra",134,A
Reliance Industries,Chemicals & Petrochemicals,Petrochemicals Polymers,Mumbai,950000.0,250000.0,5500.0,"Jamnagar (GJ), Hazira (GJ), Vadodara (GJ)",115,B,https://www.reliance.com,https://www.linkedin.com/company/reliance,False,0,0,0,,True,digital_transformation,1,True,"**Reliance Industries Limited (RIL) shows limited direct evidence of recent IT leadership hires, wit",133,A
HPCL,Chemicals & Petrochemicals,Petrochemicals Polymers,Mumbai,450000.0,10000.0,850.0,"Vizag (AP), Mumbai, Bhatinda",100,B,https://www.hpcl.com,https://www.linkedin.com/company/hpcl,True,1,0,0,,True,"digital_transformation,cost_optimization",2,False,,131,A
Nestle India,FMCG & Consumer,Fmcg Foods Personal Care,Gurugram,19000.0,8500.0,595.0,"Nanjangud (KA), Samalkha (HR), Moga (PB), Tahliwal (HP)",95,B,https://www.nestle.com,https://www.linkedin.com/company/nestle,True,1,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,129,A
Vedanta Ltd,Mining & Minerals,Mining Minerals,Mumbai,145000.0,25000.0,750.0,"Odisha (Lanjigarh), Rajasthan (HZL), Goa",105,B,https://www.vedanta.com,https://www.linkedin.com/company/vedanta,False,0,0,0,,True,"digital_transformation,expansion",2,False,,126,A
SAIL,Steel & Metals,Steel Coils,Delhi,110000.0,60000.0,300.0,"Bokaro (JH), Durgapur (WB), Rourkela (OD), Bhilai (CG), Burnpur (WB)",95,B,https://www.sail.com,https://www.linkedin.com/company/sail,True,1,0,0,,True,"digital_transformation,sustainability",2,False,,126,A
Berger Paints,Chemicals & Petrochemicals,Paints Coatings,Kolkata,11000.0,4500.0,308.0,"Rishra (WB), Pondicherry, Hindupur (AP), Jejuri (MH), Goa",90,B,https://www.bergerpaints.com,https://www.linkedin.com/company/berger-paints,True,1,0,0,,True,"digital_transformation,expansion,cost_optimization,sustainability",4,False,,125,A
Adani Wilmar,FMCG & Consumer,Food Grains Staples,Ahmedabad,56000.0,5500.0,650.0,"Mundra (GJ), Haldia (WB), Mangalore, Bundi",100,B,https://www.adaniwilmar.com,https://www.linkedin.com/company/adani-wilmar,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,124,A
Asian Paints,Chemicals & Petrochemicals,Paints Coatings,Mumbai,35000.0,8000.0,940.0,"Ankleshwar (GJ), Kasna (UP), Sriperumbudur (TN), Mysore (KA), Rohtak (HR), Khandala (MH), Visakhapatnam",100,B,https://www.asianpaints.com,https://www.linkedin.com/company/asian-paints,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,124,A
FCI (Food Corporation),FMCG & Consumer,Food Grains Staples,Delhi,200000.0,25000.0,2700.0,Pan-India (all states),105,B,,https://www.linkedin.com/company/fci-food,False,0,0,0,,True,digital_transformation,1,False,,123,A
GAIL India,Chemicals & Petrochemicals,Petrochemicals Polymers,Delhi,135000.0,4500.0,680.0,"Pata (UP), Usar (MH)",100,B,https://www.gail.com,https://www.linkedin.com/company/gail,False,0,0,0,,True,"digital_transformation,expansion",2,False,,121,A
UPL Ltd,Chemicals & Petrochemicals,Agrochemicals,Mumbai,54000.0,14000.0,680.0,"Ankleshwar (GJ), Vapi (GJ), Jhagadia (GJ), Halol, Global",100,B,https://www.upl.co.in,https://www.linkedin.com/company/upl,False,0,0,0,,True,"digital_transformation,cost_optimization",2,False,,121,A
ITC Ltd (FMCG),FMCG & Consumer,Fmcg Foods Personal Care,Kolkata,20000.0,30000.0,850.0,"Kolkata (WB), Pune, Haridwar, Munger, Kapurthala",100,B,,https://www.linkedin.com/company/itc-fmcg,False,0,0,0,,True,"digital_transformation,expansion",2,False,,121,A
IFFCO,Chemicals & Petrochemicals,Fertilizers,Delhi,45000.0,6000.0,765.0,"Kalol (GJ), Kandla (GJ), Phulpur (UP), Aonla (UP), Paradeep (OD), Babrala (UP)",95,C,https://www.iffco.com,https://www.linkedin.com/company/iffco,False,0,0,0,,True,"digital_transformation,cost_optimization,sustainability",3,False,,119,B
Varun Beverages (PepsiCo),FMCG & Consumer,Beverages,Gurugram,18000.0,13000.0,510.0,"Pan-India (Greater Noida, Pathankot, Jaipur, Kolkata, Mumbai, Chennai, etc.)",95,C,,https://www.linkedin.com/company/varun-beverages-pepsico,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,119,B
Britannia Industries,FMCG & Consumer,Fmcg Foods Personal Care,Bangalore,17000.0,5000.0,545.0,"Kolkata, Guwahati, Chennai, Rudrapur, Ranjangaon",100,B,https://www.britannia.com,https://www.linkedin.com/company/britannia,False,0,0,0,,True,digital_transformation,1,False,,118,B
Sun Pharma,FMCG & Consumer,Pharma Healthcare,Mumbai,50000.0,40000.0,680.0,"Halol (GJ), Baddi (HP), Guwahati, Dewas, Karkhadi",95,C,https://www.sunpharma.com,https://www.linkedin.com/company/sun-pharma,False,0,0,0,,True,"digital_transformation,cost_optimization",2,False,,116,B
Adani Enterprises (Mining),Mining & Minerals,Mining Minerals,Ahmedabad,25000.0,5000.0,360.0,"Chhattisgarh, Odisha, Rajasthan",80,C,,https://www.linkedin.com/company/adani-enterprises-mining,True,1,0,0,,True,"digital_transformation,expansion,cost_optimization,sustainability",4,False,,115,B
Haldia Petrochemicals,Chemicals & Petrochemicals,Petrochemicals Polymers,Kolkata,12000.0,2500.0,200.0,Haldia (WB),80,C,https://www.haldiapetrochemicals.com,https://www.linkedin.com/company/haldia-petrochemicals,True,1,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,114,B
Godrej Agrovet,Chemicals & Petrochemicals,Agrochemicals,Mumbai,9500.0,5000.0,208.0,"Sachin (GJ), Jammu, Lote (MH)",70,C,https://www.godrejagrovet.com,https://www.linkedin.com/company/godrej-agrovet,True,2,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,114,B
LG Electronics India,FMCG & Consumer,Consumer Durables,Greater Noida,25000.0,6500.0,605.0,"Greater Noida (UP), Pune (MH), Ranjangaon (MH)",90,C,https://www.lgelectronics.com,https://www.linkedin.com/company/lg-electronics,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,114,B
Torrent Pharma,FMCG & Consumer,Pharma Healthcare,Ahmedabad,10500.0,15000.0,120.0,"Ahmedabad (GJ), Baddi (HP), Indrad (GJ)",80,C,https://www.torrentpharma.com,https://www.linkedin.com/company/torrent-pharma,True,1,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,114,B
Hindustan Zinc,Steel & Metals,Non Ferrous Metals,Udaipur,32500.0,4500.0,275.0,"Debari, Chanderiya, Dariba, Zawar, Rampura Agucha (all RJ)",90,C,https://www.hindustanzinc.com,https://www.linkedin.com/company/hindustan-zinc,False,0,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,114,B
Coromandel International,Chemicals & Petrochemicals,Fertilizers,Secunderabad,22000.0,5000.0,378.0,"Vizag (AP), Kakinada (AP), Ennore (TN), Ranipet",80,C,https://www.coromandelinternational.com,https://www.linkedin.com/company/coromandel-international,True,1,0,0,,True,"digital_transformation,expansion,sustainability",3,False,,114,B
Godawari Power & Ispat,Steel & Metals,Sponge Pig Iron,Raipur,7000.0,4000.0,107.0,"Raipur (CG), Siltara",70,C,https://www.godawaripowerispat.com,https://www.linkedin.com/company/godawari-power-and-ispat,True,2,0,0,,True,"digital_transformation,expansion,cost_optimization",3,False,,114,B
Coal India Ltd (CIL),Energy & Fuel,Coal Fuel,Kolkata,140000.0,250000.0,550.0,"Pan-India (JH, CG, OD, WB, MP, MH)",90,C,,https://www.linkedin.com/company/coal-cil,False,0,0,0,,True,"digital_transformation,cost_optimization,sustainability",3,False,,114,B
Hyundai Motor India,Auto & Engineering,Auto Oem,Chennai,75000.0,15000.0,630.0,"Sriperumbudur (TN), Talegaon (MH)",90,C,https://www.hyundaimotor.com,https://www.linkedin.com/company/hyundai-motor,False,0,0,0,,True,"digital_transformation,sustainability",2,False,,111,B
