Company,Website,Industry,HQ,Employees,Revenue_Cr,Logistics_Spend_Cr,Tier,Account_Type,Key_Locations
"FCI (Food Corporation)",,"FMCG","Delhi",25000,200000,2700,Tier1,Penetration,"Pan-India (all states)"
"IOCL Petrochemicals",,"Chemical","Delhi",32000,850000,2000,Tier1,Expansion,"Panipat (HR), Paradip (OD), Barauni (BR)"
"Coal India Ltd",,"Other","Kolkata",240000,160000,1350,Tier1,Expansion,"Jharkhand, Odisha, Chhattisgarh, MP, WB, Maharashtra"
"Amul (GCMMF)",,"FMCG","Anand",35000,72000,1350,Tier1,Expansion,"Anand (GJ), Mumbai, Kolkata (Pan-India)"
"Hindalco Industries",,"Steel & Metals","Mumbai",35000,215000,1300,Tier1,Expansion,"Hirakud (OD), Renukoot (UP), Dahej (GJ), Belgaum (KA), Aditya (OD)"
"HPCL",,"Chemical","Mumbai",10000,450000,850,Tier1,Penetration,"Vizag (AP), Mumbai, Bhatinda"
"ITC Ltd (FMCG)",,"FMCG","Kolkata",30000,20000,850,Tier1,Expansion,"Kolkata (WB), Pune, Haridwar, Munger, Kapurthala"
"India Pulses & Grains Assn",,"FMCG","Mumbai",,50000,800,Tier1,Penetration,"Pan-India (members)"
"Samsung India",,"FMCG","Gurugram",8000,35000,775,Tier1,Expansion,"Noida (UP), Sriperumbudur (TN)"
"IFFCO",,"Chemical","Delhi",6000,45000,765,Tier1,Expansion,"Kalol (GJ), Kandla (GJ), Phulpur (UP), Aonla (UP), Paradeep (OD), Babrala (UP)"
"GAIL India",,"Chemical","Delhi",4500,135000,680,Tier1,Expansion,"Pata (UP), Usar (MH)"
"Sun Pharma",,"FMCG","Mumbai",40000,50000,680,Tier1,Expansion,"Halol (GJ), Baddi (HP), Guwahati, Dewas, Karkhadi"
"Cargill India",,"FMCG","Gurugram",4000,45000,680,Tier1,Penetration,"Kandla (GJ), Kurkumbh (MH), Yavatmal"
"Hyundai Motor India",,"Auto & Engineering","Chennai",15000,75000,630,Tier1,Penetration,"Sriperumbudur (TN), Talegaon (MH)"
"BPCL",,"Chemical","Mumbai",12000,550000,605,Tier1,Penetration,"Kochi (KL), Mumbai"
"LG Electronics India",,"FMCG","Greater Noida",6500,25000,605,Tier1,Expansion,"Greater Noida (UP), Pune (MH), Ranjangaon (MH)"
"NHAI (Procurement)",,"Other","Delhi",5000,,600,Tier1,Penetration,"Pan-India"
"Coal India Ltd (CIL)",,"Other","Kolkata",250000,140000,550,Tier1,Expansion,"Pan-India (JH, CG, OD, WB, MP, MH)"
"Cargill India",,"FMCG","Gurugram",4000,45000,490,Tier1,Expansion,"Kandla (GJ), Kurkumbh (MH), Davangere"
"Cargill India",,"FMCG","Gurugram",4000,45000,490,Tier1,Expansion,"Kandla (GJ), Kurkumbh (MH), Davangere"
"P&G India",,"FMCG","Mumbai",4000,15000,475,Tier1,Penetration,"Bhiwadi (RJ), Hyderabad, Mandideep, Baddi"
"Amul (GCMMF)",,"FMCG","Anand",20000,72000,475,Tier1,Expansion,"Anand (GJ), Gandhinagar, Mehsana, Pan-India"
"NTPC Ltd",,"Other","Delhi",20000,175000,430,Tier1,Expansion,"Pan-India"
"Bajaj Auto",,"Auto & Engineering","Pune",12000,45000,415,Tier1,Expansion,"Chakan (MH), Akurdi (MH), Waluj (MH), Pantnagar (UK)"
"Godrej Consumer",,"FMCG","Mumbai",5500,13500,410,Tier1,Expansion,"Baddi (HP), Malanpur (MP), Guwahati, Puducherry"
"NAFED",,"Agri & Food","Delhi",3000,25000,400,Tier1,Penetration,"Pan-India"
"Bajaj Auto",,"Auto & Engineering","Pune",12000,45000,395,Tier1,Penetration,"Chakan, Akurdi, Waluj, Pantnagar"
"Coromandel International",,"Chemical","Secunderabad",5000,22000,378,Tier1,Expansion,"Vizag (AP), Kakinada (AP), Ennore (TN), Ranipet"
"Haldirams",,"FMCG","Nagpur",25000,12000,375,Tier1,Penetration,"Nagpur (MH), Delhi, Kolkata, Bikaner"
"Patanjali",,"FMCG","Haridwar",15000,12000,375,Tier1,Penetration,"Haridwar (UK), Padartha, Nagpur"
"PWD (State Roads)",,"Other","Multiple",,,360,Tier1,Penetration,"All states"
"L&T (Roads)",,"Other","Mumbai",15000,20000,350,Tier1,Penetration,"Pan-India projects"
"Adani Solar (Mundra)",,"Other","Ahmedabad",5000,15000,350,Tier1,Expansion,"Mundra (GJ), Ahmedabad (GJ)"
"Dabur India",,"FMCG","Delhi",7000,11500,342,Tier1,Expansion,"Baddi (HP), Haridwar (UK), Silvassa, Alwar"
"Secondary Steel Mills",,"Steel & Metals","",30000,25000,340,Tier1,Penetration,"Raipur, Mandi Gobindgarh, Ghaziabad"
"SECL (South Eastern)",,"Other","Bilaspur",45000,35000,335,Tier1,Penetration,"Chhattisgarh (Korba, Bilaspur, Raigarh)"
"Reliance Fresh",,"Agri & Food","Mumbai",15000,8000,330,Tier1,Penetration,"Pan-India"
"Mahindra Tractors",,"Auto & Engineering","Mumbai",15000,35000,325,Tier1,Penetration,"Kandivali, Nagpur, Jaipur, Zaheerabad"
"Toyota Kirloskar",,"Auto & Engineering","Bangalore",8000,55000,325,Tier1,Expansion,"Bidadi (KA)"
"Singareni Collieries",,"Other","Hyderabad",42000,35000,325,Tier1,Expansion,"Telangana (Ramagundam, Kothagudem, Sathupalli)"
"Mahindra Tractors",,"Auto & Engineering","Mumbai",15000,35000,325,Tier1,Expansion,"Kandivali (MH), Nagpur (MH), Jaipur (RJ), Zaheerabad (TS), Rudrapur (UK)"
"Waaree Energies",,"Other","Mumbai",4000,12000,315,Tier1,Expansion,"Surat (GJ), Tumb (GJ), Chikhli (GJ), USA"
"Honda 2W",,"Auto & Engineering","Delhi",7500,32000,310,Tier1,Penetration,"Manesar (HR), Tapukara (RJ), Narsapura (KA), Vithalpur (GJ)"
"Dr. Reddy's Labs",,"FMCG","Hyderabad",24000,28000,310,Tier1,Expansion,"Hyderabad (TS), Baddi (HP), Srikakulam (AP)"
"Rain Industries",,"Chemical","Hyderabad",4000,18000,310,Tier1,Penetration,"Visakhapatnam (AP), Kurnool (AP)"
"Xiaomi India",,"FMCG","Bangalore",3000,25000,310,Tier1,Penetration,"Tirupati (AP)"
"Coromandel International",,"Chemical","Secunderabad",5000,22000,310,Tier1,Expansion,"Vizag (AP), Kakinada (AP), Ennore (TN), Ranipet"
"United Spirits (Diageo)",,"FMCG","Bangalore",7000,11000,310,Tier1,Expansion,"Nasik (MH), Alwar (RJ), Malkajgiri (TS), Ponda (GA), Pondicherry"
"Voltas Ltd",,"FMCG","Mumbai",5000,13000,310,Tier1,Expansion,"Pantnagar (UK), Sanand (GJ), Waghodia (GJ)"
"Marico Ltd",,"FMCG","Mumbai",4500,10000,308,Tier1,Expansion,"Kanjikode (KL), Perundurai (TN), Baddi, Paldhi"
"Apar Industries",,"Steel & Metals","Mumbai",4000,15000,305,Tier1,Penetration,"Silvassa, Vadodara (GJ), Jharsuguda (OD)"
"Bunge India",,"FMCG","Mumbai",1500,20000,305,Tier1,Penetration,"Rajpura (PB), Kandla, Krishnapatnam"
"L&T (Heavy Engineering)",,"Auto & Engineering","Mumbai",50000,150000,305,Tier1,Expansion,"Hazira (GJ), Powai (MH), Vadodara"
"MRF Ltd (Rubber Div)",,"Chemical","Chennai",20000,25000,295,Tier1,Expansion,"Chennai (TN), Tiruvottiyur, Goa, Puducherry"
"Haldiram's",,"FMCG","Nagpur",25000,12000,295,Tier1,Penetration,"Nagpur (MH), Delhi, Kolkata, Bikaner"
"Patanjali (Divya Pharmacy)",,"FMCG","Haridwar",15000,12000,295,Tier1,Expansion,"Haridwar (UK), Newasa (MH), Nagpur"
"Reliance Industries (Fibres)",,"Chemical","Mumbai",8000,25000,295,Tier1,Expansion,"Hazira (GJ), Patalganga (MH), Silvassa, Hoshiarpur"
"MCL (Mahanadi Coalfields)",,"Other","Sambalpur",20000,30000,288,Tier1,Penetration,"Odisha (Talcher, IB Valley, Sambalpur)"
"Chambal Fertilisers",,"Chemical","Delhi",2200,16000,275,Tier1,Expansion,"Gadepan (RJ)"
"Kia India",,"Auto & Engineering","Gurugram",5000,40000,275,Tier1,Expansion,"Anantapur (AP)"
"Honda 2W",,"Auto & Engineering","Delhi",7000,32000,273,Tier1,Penetration,"Manesar (HR), Tapukara (RJ), Narsapura (KA), Gujarat"
"Hatsun Agro",,"FMCG","Chennai",6500,10000,272,Tier1,Penetration,"Salem (TN), Belgaum (KA), Kanchipuram"
"IOCL (Projects)",,"Other","Delhi",32000,800000,270,Tier1,Expansion,"Panipat, Mathura, Haldia, Paradip"
"Reliance New Energy",,"Other","Mumbai",3000,10000,265,Tier1,Penetration,"Jamnagar (GJ)"
"Dilip Buildcon",,"Other","Bhopal",8000,12000,265,Tier1,Penetration,"Pan-India projects"
"UFLEX Ltd",,"Chemical","Noida",8000,12000,260,Tier1,Penetration,"Noida (UP), Jammu, Dubai, Egypt, Poland"
"Raymond Ltd",,"FMCG","Mumbai",20000,9500,257,Tier1,Expansion,"Thane (MH), Jalgaon (MH), Chhindwara (MP), Vapi (GJ)"
"Supreme Industries",,"Chemical","Mumbai",8000,10500,255,Tier1,Penetration,"Pan-India"
"MRPL",,"Chemical","Mangalore",2500,90000,255,Tier1,Penetration,"Mangalore (KA)"
"Mondelez India",,"FMCG","Mumbai",4500,8500,255,Tier1,Penetration,"Baddi (HP), Induri (MH), Sricity (AP)"
"Indian Railways (COFMOW)",,"Steel & Metals","Delhi",1300000,200000,250,Tier1,Penetration,"Pan-India workshops"
"ONGC Petro",,"Chemical","Vadodara",1200,18000,250,Tier1,Expansion,"Dahej (GJ)"
"NALCO",,"Steel & Metals","Bhubaneswar",6500,14500,250,Tier1,Expansion,"Angul (OD), Damanjodi (OD)"
"Suzlon Energy",,"Other","Pune",7000,8500,250,Tier1,Expansion,"Puducherry, Daman, Gujarat, Rajasthan"
"Zydus Lifesciences",,"FMCG","Ahmedabad",25000,22000,249,Tier1,Expansion,"Ahmedabad (GJ), Baddi (HP), Moraiya (GJ)"
"Vardhman Textiles",,"FMCG","Ludhiana",25000,9000,249,Tier1,Expansion,"Ludhiana (PB), Baddi (HP), Bathinda (PB), Himachal"
"Bunge India",,"FMCG","Mumbai",1500,20000,245,Tier1,Expansion,"Rajpura (PB), Kandla, Krishnapatnam"
