Company,Category,Segment,Sub_Segment,Account_Type,HQ,Key_Locations,Sales_Rs_Cr,Employees,Total_Logistics_Spend_Rs_Cr,Priority,tier0_score,tier0_tier
Mahindra & Mahindra,Auto & Engineering,Auto Oem,PV/CV/Tractors,Expansion,Mumbai,"Chakan, Nashik, Igatpuri, Kandivali, Zaheerabad, Haridwar",140000.0,55000.0,1100.0,,120,high_priority
Tata Motors,Auto & Engineering,Auto Oem,PV/CV,Expansion,Mumbai,"Pune, Sanand (GJ), Lucknow, Pantnagar, Jamshedpur, Dharwad",445000.0,80000.0,2600.0,,120,high_priority
Coal India Ltd,Mining & Minerals,Mining Minerals,Coal,Expansion,Kolkata,"Jharkhand, Odisha, Chhattisgarh, MP, WB, Maharashtra",160000.0,240000.0,1350.0,,120,high_priority
Hindalco Industries,Steel & Metals,Non Ferrous Metals,Aluminium/Copper,Expansion,Mumbai,"Hirakud (OD), Renukoot (UP), Dahej (GJ), Belgaum (KA), Aditya (OD)",215000.0,35000.0,1300.0,,120,high_priority
Reliance Industries,Chemicals & Petrochemicals,Petrochemicals Polymers,Integrated,Expansion,Mumbai,"Jamnagar (GJ), Hazira (GJ), Vadodara (GJ)",950000.0,250000.0,5500.0,,115,high_priority
IOCL Petrochemicals,Chemicals & Petrochemicals,Petrochemicals Polymers,Integrated,Expansion,Delhi,"Panipat (HR), Paradip (OD), Barauni (BR)",850000.0,32000.0,2000.0,,115,high_priority
Hindustan Unilever,FMCG & Consumer,Fmcg Foods Personal Care,Multi-category,Expansion,Mumbai,"Doom Dooma (AS), Silvassa, Haridwar, Pondicherry, Mumbai",60000.0,21000.0,2000.0,,115,high_priority
Vedanta Aluminium,Steel & Metals,Non Ferrous Metals,Aluminium,Expansion,Delhi,"Jharsuguda (OD), Lanjigarh (OD), BALCO Korba (CG)",145000.0,25000.0,1030.0,,115,high_priority
Maruti Suzuki,Auto & Engineering,Auto Oem,PV,Penetration,Delhi,"Gurugram (HR), Manesar (HR), Gujarat",145000.0,35000.0,1430.0,,110,high_priority
Amul (GCMMF),FMCG & Consumer,Fmcg Foods Personal Care,Dairy,Expansion,Anand,"Anand (GJ), Mumbai, Kolkata (Pan-India)",72000.0,35000.0,1350.0,,110,high_priority
Vedanta Ltd,Mining & Minerals,Mining Minerals,Diversified,Expansion,Mumbai,"Odisha (Lanjigarh), Rajasthan (HZL), Goa",145000.0,25000.0,750.0,,105,high_priority
FCI (Food Corporation),FMCG & Consumer,Food Grains Staples,Procurement,Penetration,Delhi,Pan-India (all states),200000.0,25000.0,2700.0,,105,high_priority
Motherson Sumi,Steel & Metals,Non Ferrous Metals,Al Die Casting,Penetration,Noida,"Noida, Pune, Chennai, Sanand",95000.0,135000.0,1350.0,,105,high_priority
Vedanta Resources (Holding),Steel & Metals,Non Ferrous Metals,Multi-Metal,Penetration,London,Pan-India,350000.0,75000.0,2600.0,,105,high_priority
Asian Paints,Chemicals & Petrochemicals,Paints Coatings,Decorative/Industrial,Expansion,Mumbai,"Ankleshwar (GJ), Kasna (UP), Sriperumbudur (TN), Mysore (KA), Rohtak (HR), Khandala (MH), Visakhapatnam",35000.0,8000.0,940.0,,100,high_priority
