Company,Category,Segment,Sub_Segment,Account_Type,HQ,Key_Locations,Sales_Rs_Cr,Employees,Total_Logistics_Spend_Rs_Cr,Priority
Reliance Industries,Chemicals & Petrochemicals,Petrochemicals Polymers,Integrated,Expansion,Mumbai,"Jamnagar (GJ), Hazira (GJ), Vadodara (GJ)",950000.0,250000.0,5500.0,
FCI (Food Corporation),FMCG & Consumer,Food Grains Staples,Procurement,Penetration,Delhi,Pan-India (all states),200000.0,25000.0,2700.0,
Vedanta Resources (Holding),Steel & Metals,Non Ferrous Metals,Multi-Metal,Penetration,London,Pan-India,350000.0,75000.0,2600.0,
Tata Motors,Auto & Engineering,Auto Oem,PV/CV,Expansion,Mumbai,"Pune, Sanand (GJ), Lucknow, Pantnagar, Jamshedpur, Dharwad",445000.0,80000.0,2600.0,
IOCL Petrochemicals,Chemicals & Petrochemicals,Petrochemicals Polymers,Integrated,Expansion,Delhi,"Panipat (HR), Paradip (OD), Barauni (BR)",850000.0,32000.0,2000.0,
Hindustan Unilever,FMCG & Consumer,Fmcg Foods Personal Care,Multi-category,Expansion,Mumbai,"Doom Dooma (AS), Silvassa, Haridwar, Pondicherry, Mumbai",60000.0,21000.0,2000.0,
Maruti Suzuki,Auto & Engineering,Auto Oem,PV,Penetration,Delhi,"Gurugram (HR), Manesar (HR), Gujarat",145000.0,35000.0,1430.0,
Coal India Ltd,Mining & Minerals,Mining Minerals,Coal,Expansion,Kolkata,"Jharkhand, Odisha, Chhattisgarh, MP, WB, Maharashtra",160000.0,240000.0,1350.0,
Motherson Sumi,Steel & Metals,Non Ferrous Metals,Al Die Casting,Penetration,Noida,"Noida, Pune, Chennai, Sanand",95000.0,135000.0,1350.0,
Amul (GCMMF),FMCG & Consumer,Fmcg Foods Personal Care,Dairy,Expansion,Anand,"Anand (GJ), Mumbai, Kolkata (Pan-India)",72000.0,35000.0,1350.0,
Hindalco Industries,Steel & Metals,Non Ferrous Metals,Aluminium/Copper,Expansion,Mumbai,"Hirakud (OD), Renukoot (UP), Dahej (GJ), Belgaum (KA), Aditya (OD)",215000.0,35000.0,1300.0,
